Block,Time,Trial,Condition
008,5.3475,1,AknownVmeant
008,9.3685,2,AmeantVdrive
008,13.337,3,meant_v
008,17.5915,4,drive_v
008,21.4185,5,known_a
008,25.639,6,known_av
008,29.912,7,AdriveVlast
008,34.033,8,AlastVknown
008,37.9,9,meant_a
008,42.1995,10,drive_av
008,46.2035,11,drive_a
008,50.3,12,last_a
008,54.432,13,meant_av
008,58.8025,14,press_AV
008,63.364,15,last_av
008,66.63925,16,known_v
008,70.98363,17,last_v
008,75.2385,18,press_AV
008,79.15363,19,last_v
008,83.11325,20,known_v
008,87.548,21,press_AV
008,91.496,22,drive_av
008,95.613,23,AmeantVdrive
008,99.5785,24,drive_a
008,103.7305,25,meant_v
008,107.9315,26,drive_v
008,111.764,27,known_a
008,115.946,28,known_av
008,120.16,29,last_a
008,124.277,30,meant_av
008,128.521,31,last_av
008,132.755,32,press_AV
008,136.711,33,AdriveVlast
008,140.5955,34,meant_a
008,145.026,35,AknownVmeant
008,148.998,36,AlastVknown
008,153.032,37,meant_av
008,157.151,38,meant_v
008,161.3641,39,last_v
008,165.444,40,drive_v
008,169.758,41,press_AV
008,173.4625,42,meant_a
008,177.784,43,drive_av
008,181.731,44,known_av
008,185.8222,45,known_v
008,189.9845,46,drive_a
008,194.3755,47,press_AV
008,198.037,48,known_a
008,202.423,49,last_av
008,206.433,50,last_a
008,210.7495,51,AknownVmeant
008,214.7345,52,AdriveVlast
008,218.8905,53,AlastVknown
008,223.004,54,AmeantVdrive
008,227.1715,55,AknownVmeant
008,231.1916,56,last_v
008,235.2055,57,meant_av
008,239.2945,58,meant_v
008,243.6725,59,press_AV
008,247.4935,60,last_a
008,251.72,61,AlastVknown
008,255.8195,62,AdriveVlast
008,259.66,63,known_a
008,264.1885,64,press_AV
008,267.91,65,meant_a
008,272.247,66,last_av
008,276.351,67,drive_av
008,280.3385,68,drive_a
008,284.3705,69,known_av
008,288.6925,70,drive_v
008,292.792,71,AmeantVdrive
008,296.7287,72,known_v
